Data,Numero,Valor,Descricao,Placa,KM,Fornecedor,Motorista,Histórico,Categoria
,95693,453.0,ETANOL HIDRATADO COMB MOTOR,38LI2D8,13264,,,,
,137772,296.0,ETANOL HIDRATADO COMB MOTOR,24OP6G4,12143,,,,
,143295,355.0,ETANOL HIDRATADO COMB MOTOR,22HF1U6,13513,,,,
,128251,42.0,ETANOL HIDRATADO COMB MOTOR,99DS2D1,12425,,,,
,133995,35.0,ETANOL,14NB5O6,13753,,,,
,136791,209.0,ETANOL HIDRATADO COMB MOTOR,70TF0J5,12320,,,,
,100640,409.0,ETANOL HIDRATADO COMB MOTOR,86CX6N4,13551,,,,
,130936,133.0,ETANOL HIDRATADO,39TL3F2,13382,,,,
,135116,258.0,ETANOL HIDRATADO COMB MOTOR,17GF3I1,12391,,,,
,128682,491.0,ETANOL HIDRATADO COMB,20BT0N3,13370,,,,
,136355,393.0,ETANOL HIDRATADO,71TR7N2,12238,,,,
,148546,244.0,ETANOL,72NE6S6,12273,,,,
,129971,437.0,ETANOL HIDRATADO COMB MOTOR,12XW6R5,12783,,,,
,138072,339.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,27RS6A1,12590,,,,
,104350,460.0,ETANOL,61KK9Q8,13288,,,,
,144342,339.0,ETANOL HIDRATADO COMB,71FO1X1,13143,,,,
,143979,396.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,12BI3V8,12864,,,,
,122232,318.0,ETANOL,16JY2B4,12181,,,,
,153359,332.0,ETANOL HIDRATADO COMB MOTOR,77DO3O3,13677,,,,
,132022,326.0,ETANOL HIDRATADO COMB,38NL8H7,13083,,,,
,102904,296.0,ETANOL HIDRATADO,53VN9G8,13237,,,,
,103588,404.0,ETANOL HIDRATADO COMB,21QO7M0,13368,,,,
,128294,141.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,31MV5J3,13725,,,,
,135782,209.0,ETANOL,30HU1I7,13963,,,,
,99802,174.0,ETANOL HIDRATADO,61BD5H2,12182,,,,
,135163,415.0,ETANOL HIDRATADO COMB,65YE6M6,12302,,,,
,156491,233.0,ETANOL HIDRATADO COMB MOTOR,90FF4O9,12429,,,,
,132737,118.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,55KF5Q4,12209,,,,
,92674,249.0,ETANOL HIDRATADO,17BR7L7,12145,,,,
,135126,234.0,ETANOL HIDRATADO,73EE8Q2,12552,,,,
,112415,63.0,ETANOL HIDRATADO COMB,77AE3W8,12457,,,,
,118500,355.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,88VL0L0,13386,,,,
,129379,354.0,ETANOL HIDRATADO COMB MOTOR,57OG9O4,12836,,,,
,147449,180.0,ETANOL HIDRATADO,90OQ3I7,12610,,,,
,109540,367.0,ETANOL HIDRATADO COMB,41CK1L0,12878,,,,
,146824,161.0,ETANOL HIDRATADO,01YL6I7,12935,,,,
,125800,221.0,ETANOL HIDRATADO,97EC6Y4,13076,,,,
,113154,397.0,ETANOL,75CR1I0,13133,,,,
,152671,424.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,33MP1Y4,13958,,,,
,133153,203.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,38KR6W1,12415,,,,
,95095,320.0,ETANOL HIDRATADO,88US5S2,12450,,,,
,135600,362.0,ETANOL HIDRATADO COMB MOTOR,47SW4H1,13026,,,,
,100319,337.0,ETANOL HIDRATADO COMB,86SF3T1,13564,,,,
,154678,337.0,ETANOL HIDRATADO COMB MOTOR,47XK1Q9,13540,,,,
,143402,134.0,ETANOL HIDRATADO COMB,13VN5K5,12801,,,,
,120442,485.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,09KM3E2,12463,,,,
,106916,47.0,ETANOL HIDRATADO,43YH8Q4,13143,,,,
,147230,409.0,ETANOL HIDRATADO,51TN1O2,12725,,,,
,119324,151.0,ETANOL HIDRATADO,54NP9M2,13477,,,,
,153619,431.0,ETANOL,28KO5Y3,12667,,,,
,143133,108.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,00WC1K3,12540,,,,
,116462,237.0,ETANOL HIDRATADO COMB MOTOR,48RY7C7,13597,,,,
,94270,420.0,ETANOL HIDRATADO,01RO7E6,13975,,,,
,130348,226.0,ETANOL HIDRATADO COMB,64YV7E3,13506,,,,
,158478,242.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,70VV5K4,13445,,,,
