Data,Numero,Valor,Descricao,Placa,KM,Fornecedor,Motorista,Histórico,Categoria
08/05/2025,044386,208.35,ETANOL HIDRATADO COMB.,BWK2969,,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhaão Granel,,CFE
08/05/2025,936929,145.53,ETANOL HIDRATADO COMB.,FED9247,191706,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,934147,151.85,ETANOL HIDRATADO COMB.,FED9247,191384,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,932565,233.37,ETANOL HIDRATADO COMB.,SVD6D88,,AUTO POSTO CASTELINHO DE AVARE LTDA,Carlos,,CFE
08/05/2025,156685,209.1,ETANOL HIDRATADO COMB.,GBX2G51,123074,AUTO POSTO BIZUNGA LT,Mylena,,CFE
08/05/2025,156683,209.1,ETANOL HIDRATADO COMB.,GBX2G51,123074,AUTO POSTO BIZUNGA LT,Mylena,,CFE
08/05/2025,932354,156.24,ETANOL HIDRATADO COMB.,FED9247,191131,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,928736,627.0,OLEO DIESEL B S10 COMUM,EPI6184,43734,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhão Baú,,CFE
08/05/2025,473769,320.46,GASOLINA ORIGINAL C ADITIV,FZO2960,308531,AUTO POSTO BIZUNGA LT,,,CFE
08/05/2025,474318,246.02,ETANOL HIDRATADO COMB.,GBX2G51,122596,AUTO POSTO BIZUNGA LT,Mylena,,CFE
08/05/2025,287109,213.22,ETANOL HIDRATADO COMB.,FED9247,190385,AUTO POSTO BIZUNGA LT,Luiz,,CFE
08/05/2025,927867,201.37,ETANOL HIDRATADO COMB.,GFM7E55,,AUTO POSTO CASTELINHO DE AVARE LTDA,,,CFE
08/05/2025,927867,10.0,CERA AZUL,GFM7E55,,AUTO POSTO CASTELINHO DE AVARE LTDA,,,CFE
08/05/2025,932404,24.0,CELSIUS TROP ROSA CONC 1L,BWK2969,43288,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhaão Granel,,CFE
08/05/2025,932404,35.0,STP DIESEL FUEL TREATMENT,BWK2969,43288,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhaão Granel,,CFE
08/05/2025,932404,904.47,OLEO DIESEL B S500 COMUM,BWK2969,43288,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhaão Granel,,CFE
08/05/2025,929500,226.83,ETANOL HIDRATADO COMB.,FED9247,190906,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,153736,903.69,O.DIE. B S500 ORIGINAL,BWK2969,42882,AUTO POSTO BIZUNGA LT,Caminhaão Granel,,CFE
08/05/2025,922729,221.12,ETANOL HIDRATADO COMB.,FED9247,189583,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,471254,746.84,O.DIE. B S500 ORIGINAL,EPI6184,43319,AUTO POSTO BIZUNGA LT,Caminhão Baú,,CFE
08/05/2025,926667,100.0,ETANOL HIDRATADO COMB.,GFM7E55,,AUTO POSTO CASTELINHO DE AVARE LTDA,,,CFE
08/05/2025,926556,165.42,ETANOL HIDRATADO COMB.,FED9247,189797,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,472870,141.0,BRUTUS AP 15W40 -   1 LT,EPI6184,434374,AUTO POSTO BIZUNGA LT,Caminhão Baú,,CFE
08/05/2025,472870,65.0,A.T. FLUIDO DEXRON II - 1 LT,EPI6184,434374,AUTO POSTO BIZUNGA LT,Caminhão Baú,,CFE
08/05/2025,922952,217.83,ETANOL HIDRATADO COMB.,GBX2G51,122099,AUTO POSTO CASTELINHO DE AVARE LTDA,Mylena,,CFE
08/05/2025,287075,219.32,ETANOL HIDRATADO COMB.,SVD6D88,,AUTO POSTO BIZUNGA LT,Carlos,,CFE
08/05/2025,921178,182.27,ETANOL HIDRATADO COMB.,FED9247,189203,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,467525,830.14,O.DIE. B S500 ORIGINAL,EPI6184,42892,AUTO POSTO BIZUNGA LT,Caminhão Baú,,CFE
08/05/2025,150188,914.76,O.DIE. B S500 ORIGINAL,BWK2969,42522,AUTO POSTO BIZUNGA LT,Caminhaão Granel,,CFE
08/05/2025,150188,145.0,M-DELVAC LEGEND 15W40 HD V2 4L,BWK2969,42522,AUTO POSTO BIZUNGA LT,Caminhaão Granel,,CFE
08/05/2025,150175,195.31,ETANOL HIDRATADO COMB.,GBX2G51,121568,AUTO POSTO BIZUNGA LT,Mylena,,CFE
08/05/2025,917498,201.68,ETANOL HIDRATADO COMB.,FED9247,188838,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,915976,210.94,ETANOL HIDRATADO COMB.,FED9247,188445,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,133271,221.43,ETANOL HIDRATADO COMB.,GBX2G51,121177,AUTO POSTO BIZUNGA LT,Mylena,,CFE
08/05/2025,918671,241.89,ETANOL HIDRATADO COMB.,SVD6D88,,AUTO POSTO CASTELINHO DE AVARE LTDA,Carlos,,CFE
08/05/2025,912233,235.39,ETANOL HIDRATADO COMB.,SVD6D88,,AUTO POSTO CASTELINHO DE AVARE LTDA,Carlos,,CFE
08/05/2025,462963,221.39,ETANOL HIDRATADO COMB.,GBX2G51,120683,AUTO POSTO BIZUNGA LT,Mylena,,CFE
08/05/2025,915311,172.92,ETANOL HIDRATADO COMB.,GFM7E55,,AUTO POSTO CASTELINHO DE AVARE LTDA,,,CFE
08/05/2025,915899,629.21,OLEO DIESEL B S500 COMUM,BWK2969,42016,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhaão Granel,,CFE
08/05/2025,915899,24.0,CELSIUS TROP ROSA CONC 1L,BWK2969,42016,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhaão Granel,,CFE
08/05/2025,915899,35.0,STP DIESEL FUEL TREATMENT,BWK2969,42016,AUTO POSTO CASTELINHO DE AVARE LTDA,Caminhaão Granel,,CFE
08/05/2025,912506,25.0,LUBRAX FLUIDO PARA FREIOS DOT4 200ML,FED9247,188024,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,912506,173.98,ETANOL HIDRATADO COMB.,FED9247,188024,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,912504,173.98,ETANOL HIDRATADO COMB.,FED9247,188024,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,912504,25.0,LUBRAX FLUIDO PARA FREIOS DOT4 200ML,FED9247,188024,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,911209,169.72,ETANOL HIDRATADO COMB.,FED9247,187740,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,911209,3.52,GASOLINA C COMUM,FED9247,187740,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,CFE
08/05/2025,462485,1150.55,O.DIE. B S500 ORIGINAL,BWK2969,41785,AUTO POSTO BIZUNGA LT,Caminhaão Granel,,CFE
08/05/2025,910610,200.62,ETANOL HIDRATADO COMB.,GFM7E55,,AUTO POSTO CASTELINHO DE AVARE LTDA,,,CFE
01/05/2025,269425,193434.50499999998,OLEO DIESEL B S500 - COMUM,,,AUTO POSTO BIZUNGA LTDA - BIZUNGAO,,,NFE
01/05/2025,269425,266044.08323999995,ETANOL HIDRATADO COMUM,,,AUTO POSTO BIZUNGA LTDA - BIZUNGAO,,,NFE
01/05/2025,269425,1709635.13546,OLEO DIESEL B S500 - COMUM,,,AUTO POSTO BIZUNGA LTDA - BIZUNGAO,,,NFE
01/05/2025,269425,145.0,M-DELVAC LEGEND 15W40 HD V2 4L,,,AUTO POSTO BIZUNGA LTDA - BIZUNGAO,,,NFE
01/05/2025,269425,423.0,BRUTUS AP 15W40 - 1 LT,,,AUTO POSTO BIZUNGA LTDA - BIZUNGAO,,,NFE
